index,source,dest,Hops,Latency,Target
16523,2.60.25.150,74.125.234.1,"['213.228.116.142', '213.228.106.30', '87.226.183.89']","[24.598, 2.662, 44.856]",Youtube
17393,107.179.253.114,74.125.39.1,"['192.168.86.1', '107.179.253.97', '10.170.192.58', '192.171.61.9', '206.248.189.97']","[1.333, 11.784, 12.792, 11.915, 13.37]",Youtube
216657,209.89.217.225,173.194.65.19,"['192.168.1.254', '10.31.48.1', '154.11.12.217']","[0.634, 1.74, 14.79]",Youtube
308071,89.233.223.167,173.194.112.1,"['172.16.10.1', '89.233.223.161', '146.172.91.245', '146.172.98.58', '82.209.164.226', '82.209.186.126']","[0.438, 0.978, 1.703, 1.804, 1.771, 1.901]",Youtube
314870,133.130.220.175,74.125.136.83,"['10.10.10.1', '210.139.125.202', '210.139.125.165', '210.153.255.109', '210.153.241.85', '210.173.178.56', '108.170.243.44', '172.253.70.43', '209.85.251.218', '108.170.235.216', '72.14.239.126', '72.14.239.159', '209.85.249.44', '108.170.230.95', '108.170.228.163', '74.125.136.83']","[0.581, 3.281, 3.155, 6.806, 9.411, 9.414, 7.295, 24.753, 17.395, 104.598, 125.75, 145.805, 157.704, 156.507, 158.589, 156.581]",Youtube
375222,75.158.242.191,173.194.65.19,"['192.168.1.254', '10.135.16.1', '154.11.11.57']","[1.377, 2.662, 15.623]",Youtube
381978,212.198.188.215,216.58.201.227,"['192.168.0.2', '10.31.208.1', '195.132.11.116', '77.154.238.217', '92.90.185.130', '77.136.10.125', '77.129.216.178', '74.125.146.198', '108.170.244.225', '216.239.48.143', '216.58.201.227']","[2.131, 118.519, 127.41, 137.57, 76.097, 25.405, 24.997, 20.237, 20.612, 20.46, 20.354]",Youtube
540017,66.223.166.175,216.239.32.10,"['192.168.1.1', '10.128.32.57', '10.128.17.230', '10.128.118.217', '10.128.0.166', '72.14.222.60', '108.170.245.108', '108.170.233.244', '209.85.249.191', '216.239.50.13', '216.239.32.10']","[2.208, 14.839, 10.613, 13.874, 32.823, 49.409, 48.681, 88.439, 92.45, 87.273, 85.735]",Youtube
662448,212.198.188.215,74.125.206.94,"['192.168.0.2', '10.31.208.1', '195.132.11.116', '77.154.238.217', '92.90.185.130', '77.136.10.125', '77.129.216.178', '74.125.146.198', '108.170.244.177', '209.85.251.59', '216.239.48.37', '108.170.231.217', '108.170.231.227', '74.125.206.94']","[1.702, 118.591, 121.599, 134.233, 149.166, 114.702, 116.739, 122.672, 133.295, 140.741, 150.024, 147.218, 117.099, 24.415]",Youtube
665017,124.195.194.2,74.125.206.94,"['10.9.22.254', '124.195.194.6', '202.1.205.229', '72.14.197.185', '108.170.254.227', '216.239.49.74', '66.249.94.140', '108.170.236.118', '72.14.239.154', '72.14.234.8', '216.239.57.197', '172.253.65.165', '209.85.252.5', '108.170.231.183', '209.85.253.215', '74.125.206.94']","[1.948, 2.937, 2.871, 43.876, 44.365, 45.244, 109.94, 196.419, 236.536, 240.823, 259.53, 340.232, 343.645, 343.615, 330.725, 329.732]",Youtube
682891,115.187.36.120,74.125.152.1,"['192.168.117.1', '10.13.120.1', '203.171.243.1', '192.168.199.134', '72.14.197.2', '108.170.248.187', '172.253.68.121', '209.85.250.247', '209.85.242.249', '108.170.247.49', '142.250.58.147']","[0.667, 0.691, 43.102, 37.666, 45.609, 52.579, 46.389, 77.603, 174.094, 170.432, 170.005]",Youtube
850623,212.198.188.215,216.58.201.227,"['192.168.0.2', '10.31.208.1', '195.132.11.116', '77.154.238.217', '92.90.185.130', '77.136.10.125', '77.129.216.178', '74.125.146.198', '108.170.244.225', '216.239.48.143', '216.58.201.227']","[1.918, 8.256, 7.882, 11.598, 28.475, 112.907, 130.04, 134.812, 142.181, 150.112, 101.988]",Youtube
876906,85.139.193.52,216.58.208.99,"['192.168.1.1', '10.137.198.193', '10.255.48.82', '72.14.209.204', '172.253.67.15', '74.125.245.118', '172.253.76.193', '172.253.76.37', '216.239.51.118', '209.85.142.74', '209.85.255.215', '108.170.241.225', '172.253.66.187', '216.58.208.99']","[56.144, 8.672, 119.555, 8.489, 8.205, 9.396, 18.008, 31.927, 37.524, 40.967, 41.793, 41.635, 44.131, 41.392]",Youtube
