index,source,dest,date,time
66103,212.42.201.47,8.8.8.8,15-04,3
82956,212.232.52.69,8.8.8.8,15-04,3
101201,194.54.20.2,8.8.8.8,15-04,3
133503,77.53.153.46,8.8.8.8,15-04,3
195728,185.65.241.22,8.8.8.8,15-04,3
200010,130.37.15.57,8.8.8.8,15-04,3
202723,91.226.167.47,8.8.8.8,15-04,3
205366,109.190.113.211,8.8.8.8,15-04,3
205371,188.74.47.6,8.8.8.8,15-04,3
255794,185.177.1.126,8.8.8.8,15-04,3
260659,178.140.106.8,8.8.8.8,15-04,3
280153,217.241.165.168,8.8.8.8,15-04,3
342046,90.157.54.195,8.8.8.8,15-04,3
342900,5.251.207.93,8.8.8.8,15-04,3
343402,203.175.175.196,8.8.8.8,15-04,3
380559,191.193.206.238,8.8.8.8,15-04,3
382108,79.161.5.185,8.8.8.8,15-04,3
477605,98.29.123.73,8.8.8.8,15-04,3
536685,193.46.238.254,8.8.8.8,15-04,3
620957,103.5.0.34,8.8.8.8,15-04,3
627312,116.6.18.38,8.8.8.8,15-04,3
646612,185.50.71.8,8.8.8.8,15-04,3
728628,178.46.212.108,8.8.8.8,15-04,3
753884,193.114.153.50,8.8.8.8,15-04,3
800604,175.100.164.68,8.8.8.8,15-04,3
995562,203.132.93.71,8.8.8.8,15-04,3
997220,93.152.201.69,8.8.8.8,15-04,3
1221440,31.31.217.90,8.8.8.8,15-04,3
1265475,86.21.42.152,8.8.8.8,15-04,3
1291273,83.99.83.243,8.8.8.8,15-04,3
1397698,151.27.57.35,8.8.8.8,15-04,3
1408967,91.235.178.60,8.8.8.8,15-04,3
1426900,185.65.241.22,8.8.8.8,15-04,3
1439500,217.241.165.168,8.8.8.8,15-04,3
1485290,178.236.140.42,8.8.8.8,15-04,3
1571559,81.246.176.65,8.8.8.8,15-04,3
1601938,82.252.142.203,8.8.8.8,15-04,3
1698877,187.20.73.225,8.8.8.8,15-04,3
1701389,79.99.18.138,8.8.8.8,15-04,3
1703113,210.232.27.36,8.8.8.8,15-04,3
1733815,193.110.112.192,8.8.8.8,15-04,3
1734260,217.149.227.30,8.8.8.8,15-04,3
1841096,193.186.15.17,8.8.8.8,15-04,3
1984389,94.104.131.98,8.8.8.8,15-04,3
1985725,107.212.84.224,8.8.8.8,15-04,3
1988901,91.202.156.46,8.8.8.8,15-04,3
2066307,217.174.106.162,8.8.8.8,15-04,3
2123133,77.37.184.207,8.8.8.8,15-04,3
2345967,178.249.129.193,8.8.8.8,15-04,3
2486722,143.129.80.132,8.8.8.8,15-04,3
2498766,82.155.241.152,8.8.8.8,15-04,3
2502184,45.20.9.23,8.8.8.8,15-04,3
2514275,79.161.12.33,8.8.8.8,15-04,3
2656925,185.51.140.38,8.8.8.8,15-04,3
2736136,82.252.142.203,8.8.8.8,15-04,3
2736753,5.43.102.143,8.8.8.8,15-04,3
2743696,66.223.166.175,8.8.8.8,15-04,3
