Source,Time,date,Hops
102.134.194.250,3,15-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.182', '102.134.253.11', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
102.134.194.250,9,15-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.181', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
102.134.194.250,15,16-04,"['192.168.20.1', '102.134.194.249', '102.134.193.1', '10.100.10.181', '196.60.8.166', '74.125.245.193', '216.239.40.199', '8.8.8.8']"
102.176.176.251,15,13-04,"['192.168.30.1', '102.176.176.254', '45.222.205.5', '41.75.80.2', '72.14.217.212', '74.125.244.113', '172.253.76.171', '8.8.8.8']"
102.176.176.251,3,16-04,"['192.168.30.1', '102.176.176.254', '45.222.205.5', '41.75.80.2', '72.14.217.212', '74.125.244.113', '172.253.76.171', '8.8.8.8']"
102.176.176.251,15,16-04,"['192.168.30.1', '102.176.176.254', '45.222.205.5', '41.75.80.2', '72.14.217.212', '74.125.246.81', '172.253.76.173', '8.8.8.8']"
103.113.153.154,3,13-04,"['103.113.153.153', '10.200.21.149', '10.200.23.9', '103.26.246.1', '157.119.185.210', '157.119.185.19', '103.15.244.25', '72.14.219.176', '108.170.253.113', '216.239.59.171', '8.8.8.8']"
103.113.153.154,15,13-04,"['103.113.153.153', '10.200.21.149', '10.200.23.9', '103.26.246.1', '157.119.185.210', '157.119.185.19', '103.15.244.25', '72.14.219.176', '108.170.253.113', '216.239.59.171', '8.8.8.8']"
103.113.153.154,3,16-04,"['103.113.153.153', '10.200.21.149', '10.200.23.9', '103.26.246.1', '157.119.185.210', '157.119.185.19', '103.15.244.25', '72.14.219.176', '108.170.253.113', '108.170.234.107', '8.8.8.8']"
103.126.52.180,3,14-04,"['103.126.52.179', '103.126.52.195', '45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.126.52.180,9,14-04,"['103.126.52.195', '45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.126.52.180,15,14-04,"['103.126.52.195', '45.127.172.73', '108.170.247.65', '209.85.255.165', '8.8.8.8']"
103.141.61.9,3,13-04,"['192.168.11.33', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,9,13-04,"['192.168.11.49', '103.141.61.1', '103.129.217.66', '103.83.6.18', '27.111.228.30', '108.170.240.225', '74.125.251.207', '8.8.8.8']"
103.141.61.9,15,15-04,"['192.168.11.49', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '74.125.118.220', '209.85.253.241', '108.170.237.231', '8.8.8.8']"
103.141.61.9,15,16-04,"['192.168.11.49', '103.141.61.1', '103.129.217.66', '103.83.6.13', '103.83.6.18', '74.125.118.220', '209.85.253.241', '108.170.237.231', '8.8.8.8']"
103.202.216.212,15,14-04,"['192.168.102.254', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.202.216.212,21,14-04,"['192.168.102.254', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
103.202.216.212,3,15-04,"['192.168.101.254', '153.16.71.165', '103.202.216.213', '103.48.31.240', '103.48.31.122', '103.48.31.67', '103.48.31.185', '103.202.216.213', '103.48.31.240', '108.170.242.161', '108.170.235.121', '8.8.8.8']"
